,game_number, player_won, player_just_moved, cell0, cell1, cell2, cell3, cell4, cell5, cell6, cell7, cell8, best_move
0,19,1,2,0,0,0,0,0,0,0,0,0,4
1,19,1,1,0,0,0,0,1,0,0,0,0,0
2,19,1,2,2,0,0,0,1,0,0,0,0,3
3,19,1,1,2,0,0,1,1,0,0,0,0,1
4,19,1,2,2,2,0,1,1,0,0,0,0,2
5,19,1,1,2,2,1,1,1,0,0,0,0,5
6,19,1,2,2,2,1,1,1,2,0,0,0,6
0,3,2,2,0,0,0,0,0,0,0,0,0,6
1,3,2,1,0,0,0,0,0,0,1,0,0,4
2,3,2,2,0,0,0,0,2,0,1,0,0,3
3,3,2,1,0,0,0,1,2,0,1,0,0,0
4,3,2,2,2,0,0,1,2,0,1,0,0,8
5,3,2,1,2,0,0,1,2,0,1,0,1,1
6,3,2,2,2,2,0,1,2,0,1,0,1,2
7,3,2,1,2,2,1,1,2,0,1,0,1,7
8,14,1,2,0,0,0,0,0,0,0,0,0,6
9,14,1,1,0,0,0,0,0,0,1,0,0,4
10,14,1,2,0,0,0,0,2,0,1,0,0,3
11,14,1,1,0,0,0,1,2,0,1,0,0,0
12,14,1,2,2,0,0,1,2,0,1,0,0,8
13,14,1,1,2,0,0,1,2,0,1,0,1,1
14,14,1,2,2,2,0,1,2,0,1,0,1,7
15,15,2,2,0,0,0,0,0,0,0,0,0,3
16,15,2,1,0,0,0,1,0,0,0,0,0,0
17,15,2,2,2,0,0,1,0,0,0,0,0,6
18,15,2,1,2,0,0,1,0,0,1,0,0,4
19,15,2,2,2,0,0,1,2,0,1,0,0,8
20,15,2,1,2,0,0,1,2,0,1,0,1,1
21,15,2,2,2,2,0,1,2,0,1,0,1,2
22,15,2,1,2,2,1,1,2,0,1,0,1,7
23,18,2,2,0,0,0,0,0,0,0,0,0,6
24,18,2,1,0,0,0,0,0,0,1,0,0,4
25,18,2,2,0,0,0,0,2,0,1,0,0,3
26,18,2,1,0,0,0,1,2,0,1,0,0,0
27,18,2,2,2,0,0,1,2,0,1,0,0,8
28,18,2,1,2,0,0,1,2,0,1,0,1,1
29,18,2,2,2,2,0,1,2,0,1,0,1,2
30,18,2,1,2,2,1,1,2,0,1,0,1,7
31,19,1,2,0,0,0,0,0,0,0,0,0,7
32,19,1,1,0,0,0,0,0,0,0,1,0,0
33,19,1,2,2,0,0,0,0,0,0,1,0,6
34,19,1,1,2,0,0,0,0,0,1,1,0,4
35,19,1,2,2,0,0,0,2,0,1,1,0,8
0,3,2,2,0,0,0,0,0,0,0,0,0,4
1,3,2,1,0,0,0,0,1,0,0,0,0,2
2,3,2,2,0,0,2,0,1,0,0,0,0,0
3,3,2,1,1,0,2,0,1,0,0,0,0,8
4,3,2,2,1,0,2,0,1,0,0,0,2,3
5,3,2,1,1,0,2,1,1,0,0,0,2,5
0,9,1,2,0,0,0,0,0,0,0,0,0,4
1,9,1,1,0,0,0,0,1,0,0,0,0,0
2,9,1,2,2,0,0,0,1,0,0,0,0,3
3,9,1,1,2,0,0,1,1,0,0,0,0,2
4,9,1,2,2,0,2,1,1,0,0,0,0,1
5,9,1,1,2,1,2,1,1,0,0,0,0,5
6,9,1,2,2,1,2,1,1,2,0,0,0,7
7,13,1,2,0,0,0,0,0,0,0,0,0,4
8,13,1,1,0,0,0,0,1,0,0,0,0,2
9,13,1,2,0,0,2,0,1,0,0,0,0,0
10,13,1,1,1,0,2,0,1,0,0,0,0,3
11,13,1,2,1,0,2,2,1,0,0,0,0,8
0,7,1,2,0,0,0,0,0,0,0,0,0,8
1,7,1,1,0,0,0,0,0,0,0,0,1,4
2,7,1,2,0,0,0,0,2,0,0,0,1,3
3,7,1,1,0,0,0,1,2,0,0,0,1,1
4,7,1,2,0,2,0,1,2,0,0,0,1,7
5,7,1,1,0,2,0,1,2,0,0,1,1,2
6,7,1,2,0,2,2,1,2,0,0,1,1,6
0,0,1,2,0,0,0,0,0,0,0,0,0,4
1,0,1,1,0,0,0,0,1,0,0,0,0,3
2,0,1,2,0,0,0,2,1,0,0,0,0,1
3,0,1,1,0,1,0,2,1,0,0,0,0,0
4,0,1,2,2,1,0,2,1,0,0,0,0,6
5,0,1,1,2,1,0,2,1,0,1,0,0,2
6,0,1,2,2,1,2,2,1,0,1,0,0,7
7,14,1,2,0,0,0,0,0,0,0,0,0,4
8,14,1,1,0,0,0,0,1,0,0,0,0,3
9,14,1,2,0,0,0,2,1,0,0,0,0,0
10,14,1,1,1,0,0,2,1,0,0,0,0,8
11,14,1,2,1,0,0,2,1,0,0,0,2,2
12,14,1,1,1,0,1,2,1,0,0,0,2,1
13,14,1,2,1,2,1,2,1,0,0,0,2,6
14,16,1,2,0,0,0,0,0,0,0,0,0,2
15,16,1,1,0,0,1,0,0,0,0,0,0,4
16,16,1,2,0,0,1,0,2,0,0,0,0,7
17,16,1,1,0,0,1,0,2,0,0,1,0,0
18,16,1,2,2,0,1,0,2,0,0,1,0,8
19,16,1,1,2,0,1,0,2,0,0,1,1,3
20,16,1,2,2,0,1,2,2,0,0,1,1,6
0,1,2,2,0,0,0,0,0,0,0,0,0,7
1,1,2,1,0,0,0,0,0,0,0,1,0,0
2,1,2,2,2,0,0,0,0,0,0,1,0,8
3,1,2,1,2,0,0,0,0,0,0,1,1,6
4,1,2,2,2,0,0,0,0,0,2,1,1,3
5,1,2,1,2,0,0,1,0,0,2,1,1,2
6,1,2,2,2,0,2,1,0,0,2,1,1,1
7,1,2,1,2,1,2,1,0,0,2,1,1,4
8,3,1,2,0,0,0,0,0,0,0,0,0,2
9,3,1,1,0,0,1,0,0,0,0,0,0,4
10,3,1,2,0,0,1,0,2,0,0,0,0,1
11,3,1,1,0,1,1,0,2,0,0,0,0,0
12,3,1,2,2,1,1,0,2,0,0,0,0,8
13,3,1,1,2,1,1,0,2,0,0,0,1,3
14,3,1,2,2,1,1,2,2,0,0,0,1,5
0,3,1,2,0,0,0,0,0,0,0,0,0,0
1,3,1,1,1,0,0,0,0,0,0,0,0,6
2,3,1,2,1,0,0,0,0,0,2,0,0,4
3,3,1,1,1,0,0,0,1,0,2,0,0,8
4,3,1,2,1,0,0,0,1,0,2,0,2,1
5,3,1,1,1,1,0,0,1,0,2,0,2,3
6,3,1,2,1,1,0,2,1,0,2,0,2,7
7,6,2,2,0,0,0,0,0,0,0,0,0,0
8,6,2,1,1,0,0,0,0,0,0,0,0,6
9,6,2,2,1,0,0,0,0,0,2,0,0,4
10,6,2,1,1,0,0,0,1,0,2,0,0,8
11,6,2,2,1,0,0,0,1,0,2,0,2,1
12,6,2,1,1,1,0,0,1,0,2,0,2,7
13,12,1,2,0,0,0,0,0,0,0,0,0,0
14,12,1,1,1,0,0,0,0,0,0,0,0,6
15,12,1,2,1,0,0,0,0,0,2,0,0,4
16,12,1,1,1,0,0,0,1,0,2,0,0,8
17,12,1,2,1,0,0,0,1,0,2,0,2,1
18,12,1,1,1,1,0,0,1,0,2,0,2,5
19,12,1,2,1,1,0,0,1,2,2,0,2,7
20,17,2,2,0,0,0,0,0,0,0,0,0,0
21,17,2,1,1,0,0,0,0,0,0,0,0,6
22,17,2,2,1,0,0,0,0,0,2,0,0,4
23,17,2,1,1,0,0,0,1,0,2,0,0,8
24,17,2,2,1,0,0,0,1,0,2,0,2,1
